0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/admin/RoomModify?roomNo=9 HTTP/1.1" 200 13898
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/4-7.png HTTP/1.1" 200 10109
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/testroom-3.jpg HTTP/1.1" 200 170608
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/testroom-2.jpg HTTP/1.1" 200 407738
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/testroom-4.jpg HTTP/1.1" 200 332919
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/testroom-6.jpg HTTP/1.1" 200 231039
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:33 +0900] "GET /mini_project/data/testroom-5.jpg HTTP/1.1" 200 422070
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:42 +0900] "GET /mini_project/RoomList?type=member HTTP/1.1" 200 16488
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:42 +0900] "GET /mini_project/data/testroom-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:42 +0900] "GET /mini_project/data/ HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:42 +0900] "GET /mini_project/util/RoomListCalendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:42 +0900] "GET /mini_project/util/CountHead.js HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/RoomDetail?roomNo=9 HTTP/1.1" 200 12984
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/testroom-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/util/RoomDetailCalendar.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/testroom-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/testroom-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/testroom-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/testroom-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:41:47 +0900] "GET /mini_project/data/4-7.png HTTP/1.1" 304 -
