0:0:0:0:0:0:0:1 - - [19/Jul/2024:13:58:24 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26672
0:0:0:0:0:0:0:1 - - [19/Jul/2024:13:58:26 +0900] "GET /mini_project/members/MemJoin.jsp HTTP/1.1" 200 10908
0:0:0:0:0:0:0:1 - - [19/Jul/2024:13:59:29 +0900] "POST /mini_project/Join HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:02:08 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:02:08 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26672
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:02:12 +0900] "GET /mini_project/members/MemJoin.jsp HTTP/1.1" 200 10908
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:08 +0900] "GET /mini_project/common/Login.jsp HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:16 +0900] "POST /mini_project/Login HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:16 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:17 +0900] "GET /mini_project/adminMain HTTP/1.1" 200 11868
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:19 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26667
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:24 +0900] "GET /mini_project/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:24 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:24 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26672
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:25 +0900] "GET /mini_project/common/Login.jsp HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:30 +0900] "POST /mini_project/Login HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:33 +0900] "POST /mini_project/Login HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:39 +0900] "POST /mini_project/Login HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Jul/2024:14:06:39 +0900] "GET /mini_project/LoginCheck HTTP/1.1" 302 -
